物件名,築年数,専有面積
プライムアーバン四谷外苑東,22,26.99
都営大江戸線 赤羽橋駅 9階建 築28年,28,18.55
ＪＲ山手線 新大久保駅 5階建 築52年,52,40.0
ライスコーポ,23,20.62
ベルファース新橋,21,26.36
リアン笹塚,5,19.3
フレンシア麻布十番サウス,20,30.06
ドエル幡ヶ谷,42,13.0
新交通ゆりかもめ 日の出駅 11階建 築9年,9,26.5
Mignon Pepe Minami-Aoyama,4,24.04
ダイアパレス浜松町,45,28.2
都営大江戸線 中井駅 9階建 築16年,16,22.89
ＪＲ京葉線 八丁堀駅 11階建 築51年,51,17.31
メゾン呉羽,50,20.4
東京メトロ東西線 高田馬場駅 6階建 築58年,58,33.05
グラスシャック,35,33.0
ジェイパーク恵比寿,29,16.8
Axel,3,31.18
東京メトロ丸ノ内線 西新宿駅 4階建 築3年,3,31.18
都営大江戸線 西新宿五丁目駅 14階建 築10年,10,21.37
オーベル渋谷,40,26.47
クラフト中井,8,20.5
ヴィラ夏目坂,28,22.52
都営大江戸線 牛込柳町駅 2階建 築28年,28,22.52
ルーナクレシェンテ早稲田,4,24.55
LA・RES西麻布　ラ・レース西麻布,21,45.22
ジェノヴィア麻布十番グリーンヴェール,9,25.8
グランエッグス四谷N,3,19.02
ＪＲ中央線 四ツ谷駅 3階建 築3年,3,19.02
ビューティフル・マンション,42,45.5
エスセナーリオ白金,5,21.38
東京メトロ千代田線 代々木公園駅 5階建 築42年,42,33.54
都営大江戸線 赤羽橋駅 9階建 築28年,28,18.55
プチ・ハウス2,6,15.52
ＪＲ山手線 高田馬場駅 2階建 築6年,6,15.52
ベルファース新橋,21,26.36
フレンシア麻布十番サウス,20,30.06
東京メトロ日比谷線 六本木駅 7階建 築57年,57,30.21
クレアール赤坂,33,38.3
Cozy高田馬場,8,10.45
東京メトロ南北線 白金高輪駅 8階建 築27年,27,22.55
東京メトロ日比谷線 六本木駅 14階建 築23年,23,34.65
エミリブ下落合,13,25.46
西武新宿線 下落合駅 8階建 築13年,13,25.46
グランド・ガーラ高輪,22,21.66
中山マンション,54,27.75
プリマリード南青山,3,50.97
京王線 笹塚駅 2階建 築32年,32,9.31
インプルーブ白金,27,22.55
Casa de　Marron（カサデマロン）,5,17.86
ＧＬＩＣＩＯＮ上落合,3,18.13
ＪＲ総武線 市ケ谷駅 8階建 築44年,44,17.56
アルス代官山,41,22.95
Plaisir上落合,3,14.91
トーツーレジデンス汐留,22,19.7
ＪＲ山手線 田町駅 9階建 築15年,15,30.88
ciel早稲田,7,10.83
都営大江戸線 西新宿五丁目駅 10階建 築24年,24,34.54
パークフロント西新宿,24,34.54
シンシア六本木,26,24.71
レオパレス宇田川町マンション,24,20.1
アヴァンティ哲学堂公園,25,19.32
都営浅草線 東日本橋駅 11階建 築8年,8,40.04
都営大江戸線 若松河田駅 5階建 築20年,20,37.39
飯倉ヒルズ,46,46.61
東京メトロ南北線 六本木一丁目駅 12階建 築46年,46,46.61
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築18年,18,23.49
ガラ・シティ高田馬場,23,21.0
東京メトロ千代田線 代々木上原駅 2階建 築41年,41,21.0
ザ・アーバンテラス高田馬場,5,10.09
サンテミリオン飯田橋,21,22.27
アヴァンティ高田馬場,6,13.4
グリーンパーク市谷柳町,38,41.83
ＪＲ山手線 恵比寿駅 4階建 築41年,41,14.5
東京メトロ丸ノ内線 四谷三丁目駅 6階建 築62年,62,35.5
川島ハイツ,53,19.0
メイクスデザイン新宿落合,8,26.44
ピークサイドレジデンス早稲田,6,25.23
ＡＰＯＬＬＯ　白金台,28,27.91
リヴシティ新宿弐番館,23,25.12
都電荒川線 早稲田駅 11階建 築19年,19,23.76
レガリアレジデンス早稲田イクス,19,23.76
ＪＲ山手線 新宿駅 4階建 築18年,18,24.36
コンフォリア芝浦,17,25.08
新交通ゆりかもめ 芝浦ふ頭駅 12階建 築17年,17,25.08
コスモリード市ヶ谷払方町,16,35.77
F.S.C.新宿マンション,17,21.28
ラポール南青山,36,32.63
ハイツ・サン,28,31.44
都営大江戸線 東新宿駅 地下1地上8階建 築30年,30,18.45
ZEL COURT AOYAMA,22,31.2
アゼリア赤坂,50,29.68
東京メトロ千代田線 乃木坂駅 4階建 築50年,50,29.68
東京メトロ東西線 早稲田駅 地下1地上2階建 築5年,5,9.0
フラワーハウス,30,16.1
東京メトロ丸ノ内線 西新宿駅 地下2地上35階建 築2年,2,25.59
サンライズマンション,30,45.06
ＪＲ山手線 駒込駅 5階建 築39年,39,26.43
東京メトロ丸ノ内線 西新宿駅 地下2地上35階建 築2年,2,25.59
ＪＲ山手線 品川駅 40階建 築20年,20,38.47
サンライズマンション,30,45.06
ルネ新宿御苑タワー,23,24.72
東京メトロ丸ノ内線 新宿御苑前駅 地下2地上25階建 築23年,23,24.72
さくらビル柳町,12,20.88
ＪＲ山手線 駒込駅 5階建 築39年,39,26.43
ルート四谷三丁目,26,27.47
フレシール中落合,6,9.34
カーサ第2渋谷,45,26.73
コンシェリア新宿御苑 ＣＲＯＳＳＩＡ,9,25.87
都営大江戸線 東新宿駅 2階建 築15年,15,11.0
アーバンプレイス東新宿IIA棟,15,11.0
都営新宿線 曙橋駅 12階建 築22年,22,20.04
シャルマン築地明石町,47,20.38
ＪＲ山手線 高田馬場駅 10階建 築19年,19,22.62
コーポ夕喜,31,17.8
アーバンプレイス高田馬場XVI,3,10.25
サンパレス,20,34.2
東京メトロ丸ノ内線 新宿御苑前駅 9階建 築20年,20,34.2
ハイシティ渋谷,43,15.08
都営新宿線 曙橋駅 7階建 築17年,17,30.8
京王線 笹塚駅 4階建 築41年,41,16.4
エスティメゾン四谷坂町,17,30.8
メインステージ西麻布2,23,22.4
東京メトロ千代田線 赤坂駅 9階建 築33年,33,38.3
新交通ゆりかもめ 芝浦ふ頭駅 11階建 築17年,17,25.84
都営大江戸線 中井駅 地下1地上6階建 築19年,19,20.7
ラフィーヌ芝公園,27,18.87
都営大江戸線 赤羽橋駅 5階建 築27年,27,18.87
渋谷美竹ハイム,45,33.46
スカイコート新宿落合南長崎駅前,22,21.0
ラフィーヌ芝公園,27,18.87
都営大江戸線 赤羽橋駅 5階建 築27年,27,18.87
東京メトロ日比谷線 六本木駅 10階建 築58年,58,40.68
ＪＲ中央線 信濃町駅 4階建 築38年,38,20.0
西麻布ＳＢＭマンション,7,37.59
ＪＲ山手線 高田馬場駅 3階建 築28年,28,18.62
サンライトハウス,48,30.15
小田急線 代々木上原駅 3階建 築48年,48,30.15
ガーデンプレイス市ヶ谷,41,30.28
プチ・ハウス大久保,11,24.84
六本木ヒルズレジデンス,22,31.86
ソアブール高田馬場,23,20.42
ＪＲ中央線 東中野駅 9階建 築4年,4,25.28
ルフレ新宿ノース,4,25.28
リヴシティ新宿壱番館,23,21.0
ＪＲ中央線 大久保駅 7階建 築23年,23,21.0
コンフォリア東新宿ステーションフロント,8,25.11
KOKORO,18,21.79
新交通ゆりかもめ 日の出駅 13階建 築22年,22,21.37
ALTERNA新宿中落合,5,25.51
パレステュディオ四谷三丁目,20,21.88
メゾン・ド・ヴィレ白金台,26,26.56
ＪＲ山手線 田町駅 11階建 築7年,7,25.52
東京メトロ南北線 白金台駅 11階建 築26年,26,26.33
東京メトロ千代田線 乃木坂駅 4階建 築20年,20,31.21
ジュネス恵比寿,28,33.61
西大久保イレブン,44,33.0
小田急線 南新宿駅 9階建 築45年,45,21.0
小田急線 代々木八幡駅 4階建 築41年,41,13.72
メゾン・ド・ヴィレ白金台,26,26.56
ＪＲ山手線 田町駅 11階建 築7年,7,25.52
東京メトロ南北線 白金台駅 11階建 築26年,26,26.33
レガリス新宿落合,7,25.38
都営大江戸線 中井駅 4階建 築7年,7,25.38
ＪＲ山手線 駒込駅 2階建 築36年,36,24.0
東京メトロ千代田線 乃木坂駅 4階建 築20年,20,31.21
プラウドフラット西早稲田,4,26.12
ハウスみらい,23,17.81
京王新線 初台駅 4階建 築34年,34,18.23
東京メトロ丸ノ内線 西新宿駅 12階建 築24年,24,23.37
都営大江戸線 牛込柳町駅 4階建 築5年,5,25.35
東京メトロ丸ノ内線 西新宿駅 2階建 築56年,56,45.56
東京メトロ副都心線 西早稲田駅 13階建 築4年,4,26.12
fit北新宿,0,28.77
都電荒川線 早稲田駅 12階建 築3年,3,25.65
西武新宿線 下落合駅 地下1地上9階建 築6年,6,25.84
ＪＲ中央線 四ツ谷駅 2階建 築16年,16,13.0
アーバンプレイス四ツ谷,16,12.0
東京メトロ丸ノ内線 西新宿駅 4階建 築8年,8,23.63
エクサム西新宿,8,23.63
西麻布アイル,25,125.86
東京メトロ副都心線 北参道駅 3階建 築49年,49,23.0
都営大江戸線 若松河田駅 8階建 築19年,19,21.94
イルマーレ高輪,32,12.15
ガラ・ステージ麻布十番,25,22.41
ワセダハウス,52,44.71
シエスタルミエール,16,9.97
Ｙ’ｓコート,35,15.1
東京メトロ南北線 白金高輪駅 地下1地上45階建 築3年,3,24.69
クレアシオン白金台,24,19.36
東京メトロ南北線 白金台駅 11階建 築24年,24,19.36
ＪＲ中央線 飯田橋駅 8階建 築20年,20,23.15
Ｙ’ｓコート,35,15.1
ＰＡＮ神楽坂,35,30.63
都営大江戸線 落合南長崎駅 2階建 築28年,28,20.46
広尾シダーコート,34,105.84
NKハイツ3,24,19.5
クレイノマイネスハイム,7,22.34
Nano上落合,5,9.0
レグノオンザベイ,21,50.59
ＪＲ山手線 田町駅 14階建 築21年,21,50.59
新交通ゆりかもめ 日の出駅 地下1地上23階建 築6年,6,25.05
東京メトロ有楽町線 新富町駅 7階建 築43年,43,21.0
京王井の頭線 神泉駅 14階建 築23年,23,26.22
クロムハイツ,33,22.0
京王井の頭線 神泉駅 5階建 築37年,37,16.57
天空ＭＵＲＡ,9,13.39
クインテット原宿,38,72.48
FLレジデンス早稲学府I,2,26.3
東京メトロ南北線 麻布十番駅 7階建 築28年,28,34.75
バウスフラッツ品川キャナルサイド,3,22.82
Stage北新宿,10,10.22
西武新宿線 下落合駅 8階建 築20年,20,20.67
ＪＲ山手線 品川駅 12階建 築25年,25,21.17
グランエッグス東中野S,12,15.9
ＪＲ中央線 東中野駅 2階建 築12年,12,15.9
ＪＲ山手線 浜松町駅 6階建 築21年,21,30.58
和幸マンション,52,25.0
バウスフラッツ品川キャナルサイド,3,22.82
ＪＲ山手線 恵比寿駅 8階建 築43年,43,23.0
ＪＲ山手線 品川駅 12階建 築25年,25,21.17
東京メトロ日比谷線 八丁堀駅 地下1地上36階建 築8年,8,59.25
ＪＲ山手線 浜松町駅 6階建 築21年,21,30.58
東京メトロ東西線 落合駅 2階建 築19年,19,18.23
ラ・セルジュ新宿落合,19,18.23
ＪＲ山手線 高田馬場駅 2階建 築8年,8,10.45
東京メトロ有楽町線 江戸川橋駅 地下1地上5階建 築4年,4,12.4
都営三田線 御成門駅 10階建 築50年,50,16.27
目白おとめ山テラスボックス,21,24.03
パレステュディオ六本木EAST2,20,21.2
Ｇｒｏｗｃｅｌ北新宿,5,12.81
ＪＲ山手線 駒込駅 3階建 築41年,41,23.57
三田富洋ハイツ,45,17.1
シルフィード恵比寿　イースト,33,17.28
新交通ゆりかもめ 芝浦ふ頭駅 9階建 築20年,20,23.78
ラ　ヴィレット羽田,26,21.88
アルベルゴ御茶ノ水,48,16.0
菱和パレス駒場東大,28,19.17
京王井の頭線 駒場東大前駅 7階建 築28年,28,22.95
都営大江戸線 麻布十番駅 地下4地上11階建 築35年,35,50.32
ISOフラット,37,42.4
SS. FLAT神楽坂south,22,31.89
東京メトロ南北線 麻布十番駅 4階建 築21年,21,33.33
都営大江戸線 牛込神楽坂駅 14階建 築22年,22,31.89
ロイヤルクロス,19,20.0
プレミール高輪,26,27.3
スカイコート新宿落合第６,25,18.48
ＪＲ山手線 渋谷駅 3階建 築4年,4,41.07
スカイコート新宿落合第６,25,18.48
ＪＲ山手線 渋谷駅 3階建 築4年,4,41.07
ピッコラカリーナ広尾,4,41.07
ベル・エキップ,29,20.24
東京メトロ有楽町線 江戸川橋駅 9階建 築5年,5,38.85
スカイコート新宿第7,29,16.41
カスタリア麻布十番２,19,30.03
フェリスセイル,8,9.35
レジェンド代官山,65,7.42
メゾン西片町,0,114.07
グレイスコート白金,19,34.06
東京メトロ東西線 早稲田駅 地下1地上4階建 築3年,3,11.74
東京メトロ東西線 神楽坂駅 4階建 築19年,19,21.84
芝ビルディング,44,16.16
都営三田線 三田駅 11階建 築44年,44,16.16
ライオンズプラザ芝公園,44,17.49
グランジュテ千駄木,15,71.95
都営三田線 白金高輪駅 10階建 築22年,22,23.62
ＪＲ山手線 恵比寿駅 15階建 築8年,8,25.8
オルタナ恵比寿,8,34.2
ＪＲ山手線 恵比寿駅 15階建 築8年,8,34.2
田町サンハイツ,49,20.15
京王新線 幡ヶ谷駅 3階建 築28年,28,22.4
ガラ・シティ田町,26,22.19
東京メトロ南北線 白金高輪駅 15階建 築23年,23,19.58
東京メトロ銀座線 青山一丁目駅 5階建 築2年,2,46.72
東京メトロ千代田線 千駄木駅 2階建 築56年,56,94.45
ＪＲ山手線 田町駅 10階建 築45年,45,15.52
シャトレ信濃町,53,45.46
東京メトロ東西線 神楽坂駅 5階建 築27年,27,22.0
COZY2210,21,16.8
西武新宿線 新井薬師前駅 4階建 築31年,31,16.24
東京メトロ千代田線 千駄木駅 2階建 築56年,56,94.45
東京ベイサイド,45,16.44
グランド・ガーラ南麻布,23,19.58
パークアクシス青山骨董通り,20,26.82
カネトモ新宿マンション,39,28.76
都営新宿線 曙橋駅 2階建 築26年,26,22.0
第２FMクレセントマンション,36,27.61
ライオンズマンション白金第2,43,36.0
都営大江戸線 西新宿五丁目駅 12階建 築23年,23,21.52
都営大江戸線 落合南長崎駅 6階建 築18年,18,22.13
H＆M南青山,34,51.95
第二遠藤ビル,57,32.16
アーバンヒルズ目白 A棟,15,11.76
アーバンヒルズ小石川,3,47.16
elements北新宿WEST,9,25.3
ディアレイシャス港区海岸,10,25.51
グレース第２,29,22.4
グランドメゾン新宿弁天町,11,26.57
ソフトタウン赤坂,47,15.52
東京メトロ副都心線 東新宿駅 7階建 築28年,28,20.16
東京メトロ東西線 早稲田駅 10階建 築23年,23,20.61
ヴィーダスカイコート品川,17,25.37
パラシオン浜松町,45,22.15
ステージファースト高輪,27,19.53
スペーシア麻布十番1,22,42.9
東京メトロ南北線 麻布十番駅 12階建 築21年,21,42.9
メイクスデザイン南青山,13,21.88
東京メトロ日比谷線 広尾駅 12階建 築13年,13,21.88
ビイルーム新宿,24,22.3
小西ビル,48,34.0
グランジュール目白西,23,19.83
グランマーレ早稲田,27,19.36
ユートピア早稲田,28,21.91
パラシオン浜松町,45,22.15
ステージファースト高輪,27,19.53
スペーシア麻布十番1,22,42.9
東京メトロ南北線 麻布十番駅 12階建 築21年,21,42.9
都営大江戸線 落合南長崎駅 5階建 築19年,19,20.87
メイクスデザイン南青山,13,21.88
東京メトロ日比谷線 広尾駅 12階建 築13年,13,21.88
ドゥーエ西麻布II,22,66.28
APRICOT,19,26.52
秀和西麻布レジデンス,55,32.05
クレッセント白金,34,19.25
マリンロードダイヤモンドパレス,45,15.52
ホーステイルヒル,26,26.5
プレッソ赤坂,29,20.64
ＪＲ中央線 市ケ谷駅 5階建 築4年,4,25.13
Arrowsal HONGO,4,11.55
コートヒル白山,7,57.44
都営大江戸線 若松河田駅 地下1地上11階建 築33年,33,18.98
都営大江戸線 落合南長崎駅 6階建 築33年,33,22.0
ザ・パークハビオSOHO南青山,2,24.37
ヴェルト芝浦,23,22.82
アーバンクレスト西新宿,20,24.17
東京メトロ銀座線 銀座駅 14階建 築18年,18,25.09
ヒルクレスト広尾,17,28.95
ＪＲ山手線 渋谷駅 7階建 築17年,17,28.95
ヒルクレスト広尾,17,28.95
ＪＲ山手線 渋谷駅 7階建 築17年,17,28.95
アクレール落合,33,21.18
ＪＲ山手線 渋谷駅 3階建 築37年,37,18.24
ＪＲ山手線 高田馬場駅 2階建 築12年,12,21.81
東京メトロ銀座線 銀座駅 14階建 築18年,18,25.09
ルーブル北新宿,19,20.44
東京メトロ丸ノ内線 西新宿駅 7階建 築48年,48,34.0
Calm Tomihisa,3,20.0
西武新宿線 中井駅 2階建 築28年,28,17.36
エルサージュ,23,16.65
ハイム白雲,40,24.9
東京メトロ有楽町線 江戸川橋駅 4階建 築38年,38,24.84
Omotesando Court,25,294.8
東京メトロ銀座線 表参道駅 地上4階建 低層マンション,25,290.0
西武新宿線 中井駅 地下1地上3階建 築5年,5,9.0
パークアクシス白金,13,29.88
都営三田線 千石駅 5階建 築13年,13,63.06
ルクレ目白西坂,3,28.41
西武新宿線 下落合駅 地下2地上2階建 築3年,3,28.41
東京メトロ有楽町線 護国寺駅 10階建 新築,0,26.72
PREMIUM　CUBE　G　北新宿DEUX,4,25.44
サンテミリオン三田,24,19.98
東京加工ビル,51,26.7
ノア新宿,47,38.07
東京メトロ丸ノ内線 中野坂上駅 3階建 築8年,8,20.4
ベルサークル北新宿,8,20.4
カテリーナ笹塚,31,15.12
東京メトロ東西線 落合駅 2階建 築29年,29,20.09
ヘーベル落合,29,20.09
ヘーベル落合,29,20.09
ヒルズ目白坂,24,80.58
京王新線 幡ヶ谷駅 4階建 築31年,31,18.0
ザ・グランクラッセ日本橋イースト,5,54.49
ワンピース落合,6,10.66
ル・シェルブルー,24,26.24
第1村嶋ビル,49,30.58
オリオ芝浦,24,21.6
新交通ゆりかもめ 芝浦ふ頭駅 11階建 築24年,24,21.6
TMハイムB,36,12.82
日神デュオステージ早稲田,22,30.03
リリエンベルグ目白壱番館,20,30.12
ＪＲ総武線 四ツ谷駅 3階建 築6年,6,9.0
TMハイムA,36,11.47
京王線 笹塚駅 11階建 築38年,38,19.34
小田急線 東北沢駅 2階建 新築,0,118.41
マンションヴィップ新宿柏木,54,27.9
ガレージＫ,23,21.33
スカイコート新宿第6,30,16.36
YSハウス,8,10.87
第３三池ビル,41,20.59
都営大江戸線 中井駅 4階建 築25年,25,18.48
都営大江戸線 勝どき駅 地下2地上33階建 築10年,10,54.73
プレミストタワー白金高輪,3,44.72
リッツハウス新宿,34,19.87
東京メトロ千代田線 千駄木駅 8階建 築36年,36,195.71
レオパレス和,25,19.87
ハーモニーテラス中落合,8,10.65
プレール・ドゥーク西新宿II,21,22.33
マージー神楽坂,27,22.0
ライオンズマンション広尾第2,44,34.56
東京メトロ南北線 白金台駅 地下2地上6階建 築44年,44,61.52
マージー神楽坂,27,22.0
DIKマンション新橋,48,24.8
麻布十番会館,52,40.7
ＭＴアリーナ,37,38.41
京王新線 幡ヶ谷駅 2階建 築40年,40,17.01
東京メトロ千代田線 赤坂駅 7階建 築47年,47,15.52
ＪＲ山手線 渋谷駅 地下2地上12階建 築44年,44,16.62
エスプリ西早稲田,21,22.48
リビオ文京茗荷谷,8,70.08
グレースレーヌ,14,10.01
フラッツ幡ヶ谷,38,16.0
シティタワー九段下,18,65.07
アークヒルズエグゼクティブタワー,26,66.57
都電荒川線 早稲田駅 6階建 築27年,27,19.57
モーナ吉田,27,19.57
都営大江戸線 中井駅 2階建 築37年,37,18.23
ヴァンヴェール新宿,47,47.25
リクレイシア西麻布II番館,22,20.44
エスリード芝浦ベイサイド,17,25.84
京王新線 幡ヶ谷駅 2階建 築28年,28,18.2
東京メトロ東西線 落合駅 2階建 築6年,6,10.0
中井マーサ,36,13.0
ヒューマンアール,32,19.4
都営大江戸線 若松河田駅 2階建 築35年,35,15.8
スタジオ明泉,23,16.72
ＪＲ中央線 信濃町駅 5階建 築23年,23,16.72
東京メトロ副都心線 西早稲田駅 地下1地上13階建 築40年,40,14.13
高田馬場第二ロイヤルコーポ,55,30.51
ＪＲ山手線 目白駅 3階建 築53年,53,32.0
ダイホープラザ上落合,28,19.38
東京メトロ千代田線 千駄木駅 3階建 新築,0,76.07
パークサイド・戸山台（パークサイド戸山台）,31,16.6
東京メトロ東西線 早稲田駅 2階建 築31年,31,16.6
西武新宿線 下落合駅 3階建 築39年,39,23.77
都営大江戸線 若松河田駅 地下1地上11階建 築34年,34,25.71
リーノ新宿若松町,34,25.71
京王井の頭線 駒場東大前駅 4階建 築20年,20,22.3
町田ビル,46,20.0
エスコート西早稲田,25,20.77
都電荒川線 早稲田駅 10階建 築25年,25,20.77
高輪フラット,34,230.0
都営三田線 千石駅 地下1地上4階建 築5年,5,61.45
二葉ビル,54,32.4
ＪＲ山手線 高田馬場駅 13階建 築23年,23,22.85
ルミナス西新宿,32,12.6
京王新線 初台駅 4階建 築32年,32,12.6
京王新線 初台駅 5階建 築28年,28,20.0
ＩＭＥＤＩＡ,37,23.0
都営新宿線 新宿三丁目駅 4階建 築52年,52,17.86
ＤｅＬＣＣＳ神楽坂五軒町,38,19.51
みふじマンション,50,19.96
ＪＲ中央線 大久保駅 4階建 築49年,49,22.0
東京メトロ千代田線 千駄木駅 3階建 築3年,3,55.78
広尾レジデンスC棟,36,21.5
ＪＲ山手線 恵比寿駅 3階建 築26年,26,26.5
東京メトロ南北線 麻布十番駅 8階建 築57年,57,81.92
ＪＲ京浜東北線 田町駅 12階建 築4年,4,25.09
ベル・パークシティ西新宿,39,27.48
本町グリーンハイツ,35,17.87
ルシード北新宿,9,20.45
ルクレ千石,5,61.45
真正館,25,80.47
東京メトロ南北線 麻布十番駅 8階建 築57年,57,81.92
ＪＲ京浜東北線 田町駅 12階建 築4年,4,25.09
プランドール西早稲田,35,27.77
都営三田線 白山駅 地下1地上7階建 築50年,50,55.27
wisteriaムー,33,15.75
東京メトロ東西線 落合駅 4階建 築9年,9,20.45
ボヌールコート芝浦,4,25.29
カーサビアンカ,5,69.09
フェニックス早稲田駅前,26,18.63
都営新宿線 曙橋駅 5階建 築48年,48,37.9
藤和大久保コープ,43,31.72
都営大江戸線 西新宿五丁目駅 3階建 築37年,37,18.81
バール落合,19,10.34
コンフォート夏目坂,33,13.0
アート・フル新宿柏木,26,23.18
東京メトロ日比谷線 六本木駅 地下3地上5階建 築32年,32,66.34
シルバープラザ新宿第２,41,22.83
ライオンズマンション芝公園,46,27.65
都営三田線 三田駅 43階建 築19年,19,55.0
東京メトロ有楽町線 護国寺駅 10階建 築22年,22,54.46
ＪＲ中央線 東中野駅 4階建 築35年,35,16.58
ＪＲ中央線 四ツ谷駅 3階建 築45年,45,19.0
ラインビルド新宿御苑前,42,19.14
シルフィード白金,34,18.36
東京メトロ丸ノ内線 中野坂上駅 2階建 築9年,9,12.47
コーポかおり,52,20.0
レオパレス幡ヶ谷,18,19.78
ラインビルド新宿御苑前,42,19.14
東京メトロ丸ノ内線 中野坂上駅 2階建 築9年,9,12.47
ハイシティビル,46,29.0
シャンベール若松町,43,18.97
東京メトロ丸ノ内線 四谷三丁目駅 7階建 築37年,37,18.02
西原ハイツ,35,15.8
ＪＲ山手線 恵比寿駅 3階建 築37年,37,42.4
パルフェ・ド・ステージ,38,25.51
東京メトロ東西線 落合駅 2階建 築56年,56,19.5
東京メトロ日比谷線 恵比寿駅 地下1地上4階建 築29年,29,20.24
マイステージアムヒューゲル西落合,33,16.5
フローラルハイツ牛込,39,19.0
藤和ハイタウン新宿,41,29.45
ライオンズマンション新宿,46,27.71
凱風ビル,40,17.1
サンパレス西新宿,41,15.9
ウィスターリア本駒込,36,64.39
ガーデンアイクリー,27,20.0
ロイヤルタワー春日,26,65.18
都営大江戸線 若松河田駅 10階建 築25年,25,27.45
ＪＲ山手線 高田馬場駅 3階建 築6年,6,9.01
ピアーチェ落合,27,18.3
東京メトロ東西線 落合駅 3階建 築27年,27,18.3
ロジマン西麻布,49,21.0
東京メトロ日比谷線 広尾駅 6階建 築19年,19,29.03
パークハイム,37,18.0
東京メトロ東西線 九段下駅 地下2地上24階建 築18年,18,70.42
都営新宿線 曙橋駅 12階建 築42年,42,15.05
ハイツアイザワ,36,14.9
メゾン・ド・ソレイユ　A棟,27,25.2
パークハウス小石川,14,80.88
メゾンブランシュ,37,18.9
東京メトロ丸ノ内線 西新宿駅 4階建 築46年,46,33.95
メゾンベール南麻布,27,22.43
ライオンズマンション西新宿第五,44,20.79
都営大江戸線 西新宿五丁目駅 5階建 築44年,44,20.79
京王新線 幡ヶ谷駅 3階建 築53年,53,20.75
アイビー広尾,21,30.16
東京メトロ副都心線 西早稲田駅 地下1地上10階建 築32年,32,19.4
東京メトロ副都心線 西早稲田駅 4階建 築37年,37,17.22
東京メトロ東西線 九段下駅 地下2地上24階建 築18年,18,70.42
ラ・ロシェル,36,15.31
レオパレスＷＡＯ　ＷＡＯ,17,18.5
京王新線 幡ヶ谷駅 3階建 築53年,53,18.81
東京メトロ丸ノ内線 新宿御苑前駅 7階建 築42年,42,19.14
ヴィラシャンテIII Ａ,50,24.78
マンションインテグラル,38,16.75
アベニール曙橋,28,20.16
ＪＲ中央線 水道橋駅 12階建 築14年,14,34.4
都営三田線 千石駅 6階建 築2年,2,50.65
Star HouseIX,55,45.56
メインステージ中井駅前,33,16.74
カルチェブラン恵比寿,39,18.9
東京メトロ東西線 早稲田駅 3階建 築38年,38,18.81
ＪＲ山手線 恵比寿駅 地下1地上4階建 築39年,39,21.6
ＪＲ山手線 西日暮里駅 10階建 築12年,12,40.84
ＪＲ山手線 渋谷駅 3階建 築14年,14,125.88
渋谷区鴬谷町戸建,14,125.88
渋谷区鴬谷町戸建,14,125.88
ＪＲ山手線 西日暮里駅 10階建 築12年,12,40.84
ＪＲ中央線 御茶ノ水駅 14階建 築7年,7,56.91
都営浅草線 泉岳寺駅 地下1地上5階建 築40年,40,15.7
ときわ荘,65,32.0
東京メトロ東西線 早稲田駅 2階建 築65年,65,32.0
セジュール田町,40,16.1
アレージュマン本郷２丁目,0,25.77
京王新線 幡ヶ谷駅 3階建 築37年,37,18.01
東京メトロ日比谷線 広尾駅 2階建 築28年,28,33.61
ライオンズマンション神楽坂第5,43,24.3
白金台３丁目ハウス,15,172.7
ＪＲ山手線 田町駅 9階建 築20年,20,26.77
米田ハイツ,40,16.2
東京メトロ有楽町線 江戸川橋駅 6階建 築13年,13,42.28
ブランズ文京茗荷谷,12,57.0
西武新宿線 下落合駅 4階建 築29年,29,16.16
スカイコート高田馬場,30,16.16
ヒルズ南平台,25,246.21
アサヒパレス早稲田,39,18.34
トーシンフェニックスマンション神楽坂,39,14.17
ブランズ文京小石川パークフロント,14,54.79
プレミスト文京音羽,13,60.58
都営三田線 千石駅 2階建 築11年,11,50.95
ＪＲ山手線 恵比寿駅 地下1地上3階建 築19年,19,118.4
Rana 下落合,99,35.0
白ユリマンション,43,28.6
トップ市ヶ谷,42,14.54
グリーンヒル文京,27,50.0
日興パレス渋谷,42,33.54
フォーブル落合,40,17.86
コンフォリア千石,36,69.95
グレイス戸塚,28,12.86
東京メトロ東西線 早稲田駅 6階建 築28年,28,15.0
ＪＲ山手線 恵比寿駅 地下1地上3階建 築19年,19,118.4
日興パレス渋谷,42,33.54
パークホームズ日本橋浜町ザレジデンス,5,69.9
都営新宿線 浜町駅 11階建 築5年,5,69.9
成子坂ハイツ,48,50.82
西落合さかえビル,34,16.5
ミカ・リアン御茶ノ水,8,41.55
プレミスト佃二丁目,9,78.18
ライフピアセジュール,23,12.55
ホンマチドリームユーハイム,37,19.8
グランリビオザ・レジデンス,7,40.18
レジディア文京千石II,20,65.64
京王新線 幡ヶ谷駅 平屋 築27年,27,112.4
ＪＲ山手線 田町駅 13階建 築45年,45,16.5
アーバンツリー白山,13,50.5
下落合_戸建て,31,143.46
メゾン・ド・四谷,45,19.0
Brillia本郷Residence,7,69.7
東京メトロ丸ノ内線 本郷三丁目駅 15階建 築7年,7,69.7
ＯＮＥ　ＲＯＯＦ　ＦＬＡＴ,40,14.13
都営三田線 千石駅 地下1地上10階建 築6年,6,33.0
本駒込戸建,6,102.04
