物件名,築年数,専有面積
都営大江戸線 飯田橋駅 15階建 築20年,20,26.39
パークアクシス御茶ノ水,8,26.76
プライムアーバン日本橋横山町,18,44.89
コンフォリア原宿,20,37.99
ヒルズコート,32,20.09
コンフォリア日本橋人形町,17,45.95
Mトリアノン,2,44.31
フィオーレ本駒込,20,26.34
パークアクシス神保町,0,27.31
都営大江戸線 牛込神楽坂駅 4階建 築2年,2,58.18
ステージグランデ茅場町,13,25.66
ＪＲ山手線 代々木駅 5階建 築5年,5,33.8
パークキューブ代々木富ヶ谷,18,34.36
パークアクシス三番町,4,32.83
Log初台　ログ初台,5,23.7
ＪＲ山手線 代々木駅 地下3地上27階建 築18年,18,28.49
ザ・パークハウス晴海タワーズ ティアロレジデンス,9,44.15
ジオエント原宿,3,40.43
ステラメゾン茗荷谷,19,31.76
アーバネックス早稲田テラス,0,25.3
パークアクシス渋谷,22,49.45
コモド恵比寿,7,26.73
プライムアーバン笹塚,17,23.56
パークハビオ飯田橋,10,25.04
東京メトロ有楽町線 月島駅 40階建 築36年,36,58.46
リバーポイントタワー,36,55.65
GOLD FOREST 半蔵門,3,65.34
コート富士館,23,21.44
LIVIO MAISON日本橋久松町【リビオメゾン日本橋久松町】,3,25.95
シティハウス代々木,21,26.05
シティカレント代官山,8,44.76
オアーゼ新宿市谷薬王寺,3,24.47
ＪＲ京葉線 八丁堀駅 10階建 築18年,18,40.89
ザ・パークハウス新宿タワー,14,57.47
銀座レジデンス伍番館,21,32.24
都営三田線 白山駅 14階建 築20年,20,21.19
レジディア東麻布,19,50.78
東京メトロ南北線 白金高輪駅 12階建 築20年,20,28.84
ライオンズシティ白金高輪,20,28.84
晴海テラス,16,40.0
レジディア恵比寿II,20,24.89
コンフォリア白金高輪,18,37.74
ＪＲ山手線 神田駅 13階建 築8年,8,25.03
東京メトロ有楽町線 月島駅 10階建 築7年,7,26.67
メインステージ九段下,14,22.24
レグノ・フォルテ二番町,19,29.32
東京メトロ銀座線 青山一丁目駅 地下1地上8階建 築28年,28,51.1
リバーシティ21新川,30,40.0
デュオステージ下落合,3,30.24
西武新宿線 下落合駅 6階建 築3年,3,30.24
京王新線 初台駅 地下1地上24階建 築17年,17,20.75
